fulldate,DateID,week day,Month ID,Month Discription,Year ID,Quarter ID,month_ind,year_ind
2017-10-17,20171017,1,10,October,2017,4,0,0
2017-10-18,20171018,2,10,October,2017,4,0,0
2017-10-19,20171019,3,10,October,2017,4,0,0
2017-10-20,20171020,4,10,October,2017,4,0,0
2017-10-21,20171021,5,10,October,2017,4,0,0
2017-10-22,20171022,6,10,October,2017,4,0,0
2017-10-23,20171023,0,10,October,2017,4,0,0
2017-10-24,20171024,1,10,October,2017,4,0,0
2017-10-25,20171025,2,10,October,2017,4,0,0
2017-10-26,20171026,3,10,October,2017,4,0,0
2017-10-27,20171027,4,10,October,2017,4,0,0
2017-10-28,20171028,5,10,October,2017,4,0,0
2017-10-29,20171029,6,10,October,2017,4,0,0
2017-10-30,20171030,0,10,October,2017,4,0,0
2017-10-31,20171031,1,10,October,2017,4,0,0
2017-11-01,20171101,2,11,November,2017,4,0,0
2017-11-02,20171102,3,11,November,2017,4,0,0
2017-11-03,20171103,4,11,November,2017,4,0,0
2017-11-04,20171104,5,11,November,2017,4,0,0
2017-11-05,20171105,6,11,November,2017,4,0,0
2017-11-06,20171106,0,11,November,2017,4,0,0
2017-11-07,20171107,1,11,November,2017,4,0,0
2017-11-08,20171108,2,11,November,2017,4,0,0
2017-11-09,20171109,3,11,November,2017,4,0,0
2017-11-10,20171110,4,11,November,2017,4,0,0
2017-11-11,20171111,5,11,November,2017,4,0,0
2017-11-12,20171112,6,11,November,2017,4,0,0
2017-11-13,20171113,0,11,November,2017,4,0,0
2017-11-14,20171114,1,11,November,2017,4,0,0
2017-11-15,20171115,2,11,November,2017,4,0,0
2017-11-16,20171116,3,11,November,2017,4,0,0
2017-11-17,20171117,4,11,November,2017,4,0,0
2017-11-18,20171118,5,11,November,2017,4,0,0
2017-11-19,20171119,6,11,November,2017,4,0,0
2017-11-20,20171120,0,11,November,2017,4,0,0
2017-11-21,20171121,1,11,November,2017,4,0,0
2017-11-22,20171122,2,11,November,2017,4,0,0
2017-11-23,20171123,3,11,November,2017,4,0,0
2017-11-24,20171124,4,11,November,2017,4,0,0
2017-11-25,20171125,5,11,November,2017,4,0,0
2017-11-26,20171126,6,11,November,2017,4,0,0
2017-11-27,20171127,0,11,November,2017,4,0,0
2017-11-28,20171128,1,11,November,2017,4,0,0
2017-11-29,20171129,2,11,November,2017,4,0,0
2017-11-30,20171130,3,11,November,2017,4,0,0
2017-12-01,20171201,4,12,December,2017,4,0,0
2017-12-02,20171202,5,12,December,2017,4,0,0
2017-12-03,20171203,6,12,December,2017,4,0,0
2017-12-04,20171204,0,12,December,2017,4,0,0
2017-12-05,20171205,1,12,December,2017,4,0,0
2017-12-06,20171206,2,12,December,2017,4,0,0
2017-12-07,20171207,3,12,December,2017,4,0,0
2017-12-08,20171208,4,12,December,2017,4,0,0
2017-12-09,20171209,5,12,December,2017,4,0,0
2017-12-10,20171210,6,12,December,2017,4,0,0
2017-12-11,20171211,0,12,December,2017,4,0,0
2017-12-12,20171212,1,12,December,2017,4,0,0
2017-12-13,20171213,2,12,December,2017,4,0,0
2017-12-14,20171214,3,12,December,2017,4,0,0
2017-12-15,20171215,4,12,December,2017,4,0,0
2017-12-16,20171216,5,12,December,2017,4,0,0
2017-12-17,20171217,6,12,December,2017,4,0,0
2017-12-18,20171218,0,12,December,2017,4,0,0
2017-12-19,20171219,1,12,December,2017,4,0,0
2017-12-20,20171220,2,12,December,2017,4,0,0
2017-12-21,20171221,3,12,December,2017,4,0,0
2017-12-22,20171222,4,12,December,2017,4,0,0
2017-12-23,20171223,5,12,December,2017,4,0,0
2017-12-24,20171224,6,12,December,2017,4,0,0
2017-12-25,20171225,0,12,December,2017,4,0,0
2017-12-26,20171226,1,12,December,2017,4,0,0
2017-12-27,20171227,2,12,December,2017,4,0,0
2017-12-28,20171228,3,12,December,2017,4,0,0
2017-12-29,20171229,4,12,December,2017,4,0,0
2017-12-30,20171230,5,12,December,2017,4,0,0
2017-12-31,20171231,6,12,December,2017,4,0,0
2018-01-01,20180101,0,1,January,2018,1,0,0
2018-01-02,20180102,1,1,January,2018,1,0,0
2018-01-03,20180103,2,1,January,2018,1,0,0
2018-01-04,20180104,3,1,January,2018,1,0,0
2018-01-05,20180105,4,1,January,2018,1,0,0
2018-01-06,20180106,5,1,January,2018,1,0,0
2018-01-07,20180107,6,1,January,2018,1,0,0
2018-01-08,20180108,0,1,January,2018,1,0,0
2018-01-09,20180109,1,1,January,2018,1,0,0
2018-01-10,20180110,2,1,January,2018,1,0,0
2018-01-11,20180111,3,1,January,2018,1,0,0
2018-01-12,20180112,4,1,January,2018,1,0,0
2018-01-13,20180113,5,1,January,2018,1,0,0
2018-01-14,20180114,6,1,January,2018,1,0,0
2018-01-15,20180115,0,1,January,2018,1,0,0
2018-01-16,20180116,1,1,January,2018,1,0,0
2018-01-17,20180117,2,1,January,2018,1,0,0
2018-01-18,20180118,3,1,January,2018,1,0,0
2018-01-19,20180119,4,1,January,2018,1,0,0
2018-01-20,20180120,5,1,January,2018,1,0,0
2018-01-21,20180121,6,1,January,2018,1,0,0
2018-01-22,20180122,0,1,January,2018,1,0,0
2018-01-23,20180123,1,1,January,2018,1,0,0
2018-01-24,20180124,2,1,January,2018,1,0,0
2018-01-25,20180125,3,1,January,2018,1,0,0
2018-01-26,20180126,4,1,January,2018,1,0,0
2018-01-27,20180127,5,1,January,2018,1,0,0
2018-01-28,20180128,6,1,January,2018,1,0,0
2018-01-29,20180129,0,1,January,2018,1,0,0
2018-01-30,20180130,1,1,January,2018,1,0,0
2018-01-31,20180131,2,1,January,2018,1,0,0
2018-02-01,20180201,3,2,February,2018,1,0,0
